stop_id,stop_name,stop_lat,stop_lon,Zipcode
21032,Carlsbad Bl & Tamarack Av,33.147366,-117.345393,92008
21033,Harding St & Carlsbad Village Dr,33.161521,-117.344381,92008
21038,Harding St & Pine Av,33.159434,-117.342688,92008
21042,Marron Rd & Jefferson St,33.177515,-117.34035,92008
21043,Pio Pico Dr & Chestnut Av,33.157698,-117.33908,92008
21044,Pio Pico Dr & Magnolia Av,33.154866,-117.337591,92008
21046,Fireside St & Parkside Dr,33.227742,-117.338184,92058
21050,Carlsbad Bl & Cerezo Dr,33.128419,-117.332693,92008
21051,El Camino Real & Mesa Dr,33.208363,-117.333615,92054
21053,El Camino Real & Oceanside Bl,33.200819,-117.331779,92054
21054,Carlsbad Bl & Solamar Dr,33.120896,-117.327305,92011
21055,El Camino Real & Los Arbolitos Bl,33.227731,-117.331245,92058
21058,El Camino Real & Mission Av,33.22535,-117.331274,92058
21059,El Camino Real & Basel St,33.190631,-117.328263,92054
21060,El Camino Real & Fire Mountain Dr,33.192256,-117.328221,92054
21066,El Camino Real & Hosp Way,33.174733,-117.325344,92008
21067,Douglas Dr & El Camino Real,33.229851,-117.326191,92058
21068,El Camino Real & Carlsbad Village Dr,33.171425,-117.322674,92008
21070,Avenida De Anita & Flower Fields Way,33.177031,-117.322686,92010
21071,Douglas Dr & N River Rd,33.244894,-117.322785,92058
21072,El Camino Real & Chestnut Av,33.163267,-117.319798,92008
21073,Rancho Del Oro Dr & San Ramon Dr,33.222142,-117.320378,92057
21074,Carlsbad Bl & Poinsettia Ln,33.101378,-117.318157,92011
21076,Rancho Del Oro Dr & Oregano Way,33.217677,-117.319274,92057
21078,El Camino Real & Tamarack Av,33.153614,-117.312101,92008
21079,Vandegrift Bl & 11th St,33.299424,-117.313258,92055
21080,Vandegrift Bl & 4th St,33.293749,-117.312591,92055
21082,Vandegrift Bl & Mcx Rd,33.302266,-117.312648,92055
21083,El Camino Real & Kelly Dr,33.152087,-117.30987,92008
21085,Hwy 101 & La Costa Av,33.081404,-117.308163,92024
21086,Rancho Del Oro Rd & Las Tiendas Way,33.183793,-117.31105,92056
21087,Vandegrift Bl & 14th St,33.307231,-117.311596,92055
21090,Rancho Del Oro Dr & Tournament Dr,33.186579,-117.309181,92056
21091,Rancho Del Oro Rd & Trieste Way,33.189248,-117.308571,92056
21093,Hwy 101 & Grandview St,33.075877,-117.306222,92024
21098,Hwy 101 & Phoebe St,33.069046,-117.303944,92024
21102,Hwy 101 & Leucadia Blvd,33.063985,-117.30227,92024
21108,Vandegrift Bl & Barnett Cir,33.284752,-117.302105,92055
21109,N River Rd & Redondo Dr,33.249103,-117.301492,92057
21114,Vandegrift Bl & Gold Dr,33.25783,-117.299025,92057
21115,Vandergrift Blvd & Parker St,33.261075,-117.2984,92057
21116,Vandergrift Blvd & Castellano Dr,33.264428,-117.297804,92057
21119,Vandegrift Bl & Douglas Dr,33.273012,-117.29629,92057
21120,College Blvd & Adams St,33.248971,-117.294961,92057
21123,Vulcan Av & J St,33.038545,-117.291676,92024
21124,College Blvd & Via Cupeno,33.246292,-117.290865,92057
21125,Thunder Dr & College Bl,33.198946,-117.28826,92056
21126,Thunder Dr & Marvin St,33.194668,-117.288279,92056
21127,Saxony Rd & Saxony Ln,33.052379,-117.285655,92024
21128,El Camino Real & Sunny Creek Rd,33.144605,-117.286051,92008
21129,Saxony Rd & Leucadia Bl,33.064586,-117.285224,92024
21131,Saxony Rd & Puebla St,33.061684,-117.285374,92024
21133,Sky Haven Ln & Sundown Ln,33.180351,-117.280156,92056
21134,Sky Haven Ln & Zenith Ln,33.178526,-117.280183,92056
21135,Emerald Dr & Hacienda Dr,33.186218,-117.279636,92081
21141,Hwy 101 & Solana Vista Dr,32.997862,-117.27404,92075
21142,Yarrow Dr & Palomar Airport Rd,33.124855,-117.275042,92011
21144,Hwy 101 & Plaza St,32.99136,-117.271692,92075
21145,Camino Del Mar & 29th St,32.972376,-117.268658,92014
21147,El Camino Real & Dove Ln,33.104981,-117.267149,92011
21149,El Camino Real & Town Center Dr,33.064595,-117.262622,92024
21150,N Torrey Pines Rd & Torrey Pines State Beach,32.935782,-117.260929,92014
21151,El Camino Real & Mountain Vista Dr,33.051497,-117.260948,92024
21161,S Mission Rd & Clemmens Ln,33.368699,-117.250952,92028
21164,S Mission Rd & O' Hearn Dr,33.365772,-117.249943,92028
21165,Melrose Dr & Buena Vista Dr,33.166667,-117.247238,92081
21166,S Mission Rd & Rocky Crest Rd,33.362569,-117.249439,92028
21170,Melrose Dr & Longhorn Dr,33.163662,-117.2445,92081
21171,N Santa Fe Av & California Av,33.207125,-117.245112,92083
21173,N Santa Fe Av & Los Angeles Dr,33.211115,-117.245085,92083
21174,N Santa Fe Av & Bobier Dr,33.22073,-117.245017,92083
21175,N Santa Fe Av & Indian Rock Rd,33.217192,-117.245023,92083
21177,Melrose Dr & Dawson Dr,33.149826,-117.242251,92081
21178,Melrose Dr & Shadowridge Dr,33.161112,-117.242115,92081
21180,Melrose Dr & Sycamore Av,33.144864,-117.241536,92081
21181,Rancho Santa Fe Rd & Calle Barcelona,33.071883,-117.243146,92009
21183,Rancho Santa Fe Rd & Olive Crest Dr,33.057537,-117.235572,92024
21184,Hwy 76 & North River Rd,33.266976,-117.237136,92003
21185,S Mission Rd & Green Canyon Rd,33.334647,-117.236575,92028
21187,Camino De Los Coches & Via Callendo,33.077986,-117.230036,92009
21188,Business Park Dr & Liberty Way,33.137578,-117.230039,92081
21191,E Vista Way & Oak Dr,33.213141,-117.228842,92084
21192,S Mission Rd & 4719,33.305837,-117.227333,92028
21193,Rancho Santa Fe Rd & Melrose Dr,33.106584,-117.22574,92009
21194,E Vista Way & Strawberry Hill Ln,33.243532,-117.226593,92084
