X,Y,OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date
-106.451678,31.8257850000001,482138,60006,2864,3535 Fred Wilson\Russel,3535 Unit IB & Russell St,31.825785,-106.451678,,,2864,,,,0,,,,01-13-2024
-106.464911,31.82296,482139,60006,2865,Alabama\High Vista Apts., Unit IB & High Vista Apts,31.82296,-106.464911,,,2865,,,,0,,,,01-13-2024
-106.452565,31.8256010000001,482140,60006,2867,Fred Wilson\ Byron, Unit OB & Byron St,31.825601,-106.452565,,,2867,,,,0,,,,01-13-2024
-106.449654,31.8256850000001,482141,60006,2868,Fred Wilson\Stevens,3600 Unit OB & Stevens St,31.825685,-106.449654,,,2868,,,,0,,,,01-13-2024
-106.422935,31.826262,482142,60006,2869,Fred Wilson\Ft.Bliss Cemetry, Unit OB & Ft. Bliss Cemetery,31.826262,-106.422935,,,2869,,,,0,,,,01-13-2024
-106.402957,31.8174050000001,482143,60006,2870,Founders\Concord,300 Unit OB & Concord St,31.817405,-106.402957,,,2870,,,,0,,,,01-13-2024
-106.399213,31.8166580000001,482144,60006,2871,Zane Grey\Founders, Unit OB & Zane Grey St,31.816658,-106.399213,,,2871,,,,0,,,,01-13-2024
-106.40427,31.792768,482145,60006,2886,6400 Airport\Boeing,6400 Unit IB & Boeing Dr,31.792768,-106.40427,,,2886,,,,0,,,,01-13-2024
-106.482967,31.752416,482146,60006,2892,809 Kansas\Sixth,809 Unit IB & Sixth Ave,31.752416,-106.482967,,,2892,,,,0,,,,01-13-2024
-106.482526,31.7509900000001,482147,60006,2893,Kansas\Eighth, Unit IB & Eighth Ave,31.75099,-106.482526,,,2893,,,,0,,,,01-13-2024
-106.483202,31.750708,482148,60006,2894,Eight\Stanton, Unit IB & Stanton St,31.750708,-106.483202,,,2894,,,,0,,,,01-13-2024
-106.40165,31.7622490000001,482149,60006,2902,6930 Alameda,6930 Unit OB,31.762249,-106.40165,,,2902,,,,0,,,,01-13-2024
-106.400209,31.760411,482150,60006,2903,6920 Alameda\Delta,6920 Unit OB & Delta Dr,31.760411,-106.400209,,,2903,,,,0,,,,01-13-2024
-106.332385,31.685164,482151,60006,2905,400 Zaragoza\Kennedys,400 Unit IB & Kennedys,31.685164,-106.332385,,,2905,,,,0,,,,01-13-2024
-106.329442,31.6877700000001,482152,60006,2907,301 Zaragoza\Begonia,301 Unit IB & Begonia Pl,31.68777,-106.329442,,,2907,,,,0,,,,01-13-2024
-106.326827,31.688968,482153,60006,2908,Socorro\Gonzales,9100 Unit IB & Gonzales St,31.688968,-106.326827,,,2908,,,,0,,,,01-13-2024
-106.324986,31.6879880000001,482154,60006,2909,9180 Socorro\Southside,9180 Unit OB/IB & Southside Rd,31.687988,-106.324986,,,2909,,,,0,,,,01-13-2024
-106.322692,31.686427,482155,60006,2910,9268 Socorro\Gaspar,9268 Unit OB/IB & Gaspar St,31.686427,-106.322692,,,2910,,,,0,,,,01-13-2024
